iter	Logloss
0	0.6691758312
1	0.6516792301
2	0.6346028086
3	0.6189936208
4	0.6014067878
5	0.5810081876
6	0.5646384244
7	0.552404609
8	0.5405274188
9	0.5299131257
10	0.5205068852
11	0.5108849115
12	0.4993050239
13	0.4903533841
14	0.479581353
15	0.4711730423
16	0.4642603682
17	0.4570648494
18	0.4502231894
19	0.4449935667
20	0.4388628484
21	0.4322425231
22	0.4252958644
23	0.4189641402
24	0.4119927753
25	0.4074167383
26	0.4033972793
27	0.3988350845
28	0.394496931
29	0.3908788335
30	0.3862996066
31	0.382627796
32	0.379011901
33	0.3756689908
34	0.3727794288
35	0.3691330878
36	0.3657253624
37	0.3632924263
38	0.3608288208
39	0.3587098921
40	0.3566985753
41	0.3543473577
42	0.3515781956
43	0.3500371526
44	0.3473782866
45	0.3460312184
46	0.3444942317
47	0.3431785269
48	0.3412792986
49	0.339678748
50	0.3378188611
51	0.3365692566
52	0.3355580789
53	0.3342104285
54	0.3330659473
55	0.3313075673
56	0.3301258436
57	0.328536901
58	0.3273562236
59	0.3264598254
60	0.3249853052
61	0.3240053528
62	0.3233016738
63	0.3223269103
64	0.3214514106
65	0.3203303634
66	0.318912911
67	0.3179924482
68	0.3169290615
69	0.3158184977
70	0.3153255757
71	0.3147993753
72	0.3124388962
73	0.3114849981
74	0.3108185615
75	0.3100882379
76	0.3095119346
77	0.3088290155
78	0.3080318213
79	0.3072548102
80	0.306686431
81	0.305606617
82	0.3050457363
83	0.3045267855
84	0.3037844104
85	0.3033678671
86	0.3027707203
87	0.3023705383
88	0.3017128176
89	0.3011427147
90	0.300818766
91	0.3004293261
92	0.2998352252
93	0.2994733574
94	0.2988739835
95	0.2984384704
96	0.2980461446
97	0.2977799205
98	0.2974162477
99	0.2970920648
100	0.2967285687
101	0.2965208357
102	0.2963259736
103	0.2961523202
104	0.295823442
105	0.2955025611
106	0.2950937466
107	0.2947225465
108	0.2945733956
109	0.2941777731
110	0.2938467431
111	0.2934582688
112	0.2931265484
